Statistic & Pval & Mean1 & Mean2 & FC_Mean\\ 
SLA2 & 64 & 0.00101 & 0.099 & -0.076 & 0.175\\ 
PYHIN1 & 64 & 0.00101 & 0.091 & -0.078 & 0.169\\ 
SP140 & 64 & 0.00101 & 0.084 & -0.074 & 0.158\\ 
CD3D & 64 & 0.00101 & 0.081 & -0.073 & 0.154\\ 
FASLG & 64 & 0.00101 & 0.083 & -0.069 & 0.152\\ 
TBX21 & 64 & 0.00101 & 0.083 & -0.066 & 0.148\\ 
CD86 & 64 & 0.00101 & 0.08 & -0.067 & 0.146\\ 
IKZF1 & 64 & 0.00101 & 0.073 & -0.07 & 0.143\\ 
POU2AF1 & 64 & 0.00101 & 0.075 & -0.067 & 0.142\\ 
ZNF831 & 64 & 0.00101 & 0.072 & -0.069 & 0.141\\ 
LILRB4 & 64 & 0.00101 & 0.073 & -0.067 & 0.141\\ 
NCF1 & 64 & 0.00101 & 0.077 & -0.063 & 0.14\\ 
BTK & 64 & 0.00101 & 0.072 & -0.068 & 0.14\\ 
CD28 & 64 & 0.00101 & 0.07 & -0.068 & 0.138\\ 
ITGB2 & 64 & 0.00101 & 0.068 & -0.068 & 0.136\\ 
MNDA & 64 & 0.00101 & 0.069 & -0.065 & 0.134\\ 
PLEK & 64 & 0.00101 & 0.072 & -0.062 & 0.134\\ 
CD40LG & 64 & 0.00101 & 0.068 & -0.066 & 0.133\\ 
PIM2 & 64 & 0.00101 & 0.074 & -0.058 & 0.132\\ 
HAVCR2 & 64 & 0.00101 & 0.069 & -0.063 & 0.132\\ 
SPI1 & 64 & 0.00101 & 0.066 & -0.066 & 0.131\\ 
CXCL10 & 64 & 0.00101 & 0.072 & -0.052 & 0.124\\ 
TFEC & 64 & 0.00101 & 0.062 & -0.062 & 0.124\\ 
IRF1 & 64 & 0.00101 & 0.068 & -0.055 & 0.123\\ 
CD74 & 64 & 0.00101 & 0.059 & -0.06 & 0.119\\ 
NLRC3 & 64 & 0.00101 & 0.062 & -0.056 & 0.119\\ 
TNFSF8 & 64 & 0.00101 & 0.062 & -0.056 & 0.118\\ 
CD4 & 64 & 0.00101 & 0.054 & -0.062 & 0.116\\ 
PSME2 & 64 & 0.00101 & 0.069 & -0.046 & 0.115\\ 
PSMB8 & 64 & 0.00101 & 0.065 & -0.049 & 0.114\\ 
LGALS9 & 64 & 0.00101 & 0.065 & -0.049 & 0.114\\ 
PSMB9 & 64 & 0.00101 & 0.062 & -0.051 & 0.113\\ 
CIITA & 64 & 0.00101 & 0.057 & -0.054 & 0.111\\ 
BATF2 & 64 & 0.00101 & 0.067 & -0.042 & 0.109\\ 
LYL1 & 64 & 0.00101 & 0.052 & -0.057 & 0.109\\ 
PRKCB & 64 & 0.00101 & 0.053 & -0.054 & 0.107\\ 
ETV7 & 64 & 0.00101 & 0.067 & -0.035 & 0.102\\ 
STAT1 & 62 & 0.00195 & 0.058 & -0.044 & 0.101\\ 
NLRP3 & 64 & 0.00101 & 0.045 & -0.05 & 0.096\\ 
TRIM22 & 64 & 0.00101 & 0.04 & -0.052 & 0.092\\ 
SP100 & 64 & 0.00101 & 0.051 & -0.041 & 0.091\\ 
DDX58 & 63 & 0.00142 & 0.05 & -0.041 & 0.091\\ 
FLI1 & 64 & 0.00101 & 0.037 & -0.045 & 0.082\\ 
PARP9 & 62 & 0.00195 & 0.038 & -0.032 & 0.07\\ 
