P-value & P-adj value & Complex Name & Source & Gene Names & Gene Ids & Size & Effective Size 
1.00E-05 & 0.00017 & PDPK1:PIP3:PKC zeta & Reactome & PDPK1; PRKCZ & 5170; 5590 & 2 & 2\\ \hline
0.00022 & 0.00112 & Brg1-associated complex II & CORUM & SMARCC2; PRMT5 & 6601; 10419 & 7 & 7\\ \hline
0.00092 & 0.00134 & emerin C32 & PINdb & SMARCC2; RCOR1 & 6601; 23186 & 14 & 14\\ \hline
0.00171 & 0.00182 & AF4.com & PINdb & CCNT2; HEXIM2 & 905; 124790 & 20 & 19\\ \hline
 &  &  &  &  &  &  & \\ 
0 & 5.00E-05 & IRF1 and IRF9 complex with the CXCL10 promoter & InnateDB & CXCL10; IRF1; IRF9 & 3627; 3659; 10379 & 3 & 3\\ \hline
0 & 5.00E-05 & ISGF3 & Reactome & IRF9; STAT2; STAT1 & 6772; 6773; 10379 & 3 & 3\\ \hline
0 & 5.00E-05 & DTX3L-PARP9-STAT1 complex & CORUM & DTX3L; PARP9; STAT1 & 6772; 83666; 151636 & 3 & 3\\ \hline
5.00E-05 & 0.00071 & STAT dimer_Yp & INOH & STAT4; STAT2; STAT1 & 6772; 6773; 6775 & 7 & 7\\ \hline
8.00E-05 & 0.00071 & p-T611 & S730 & S739-FOXM1:MuvB:MYBL2:PLK1 Gene & Reactome & PLK1; MYBL2; FOXM1 & 2305; 4605; 5347 & 8 & 8\\  \hline
0.00012 & 0.00071 & 26S proteasome & Reactome & PSMB10; PSME2; PSME1; PSMB9; PSMB8 & 5696; 5698; 5699; 5720; 5721 & 42 & 42\\ \hline
0.00013 & 0.00071 & CD4:IL16(1212-1332) & Reactome & CD4; IL16 & 920; 3603 & 2 & 2\\ \hline
0.00013 & 0.00071 & CD28:B7-2 & Reactome & CD28; CD86 & 940; 942 & 2 & 2\\ \hline
0.00013 & 0.00071 & p-T611 & S730 & S739-FOXM1:CENPF Gene & Reactome & CENPF; FOXM1 & 1063; 2305 & 2 & 2\\ \hline
0.00013 & 0.00071 & p-T611-FOXM1:p-T210-PLK1 & Reactome & PLK1; FOXM1 & 2305; 5347 & 2 & 2\\ \hline
0.00013 & 0.00071 & IRF3-P:IRF7-P & Reactome & IRF3; IRF7 & 3661; 3665 & 2 & 2\\ \hline
0.00013 & 0.00071 & HAVCR2:LGALS9 & Reactome & LGALS9; HAVCR2 & 3965; 84868 & 2 & 2\\ \hline
0.00013 & 0.00071 & p100:RELB & Reactome & RELB; NFKB2 & 4791; 5971 & 2 & 2\\ \hline
0.00013 & 0.00071 & PA28 complex & CORUM & PSME2; PSME1 & 5720; 5721 & 2 & 2\\ \hline
0.00013 & 0.00071 & S100A8:S100A9:Ca2+ & Reactome & S100A9; S100A8 & 6279; 6280 & 2 & 2\\ \hline
