Statistic & Pval & Mean1 & Mean2 & FC_Mean\\ 
CD74 & 16 & 0.03671 & 0.156 & -0.103 & 0.259\\ 
CIITA & 16 & 0.03671 & 0.136 & -0.073 & 0.208\\ 
NLRC5 & 16 & 0.03671 & 0.126 & -0.081 & 0.206\\ 
NCF1 & 16 & 0.03671 & 0.124 & -0.082 & 0.206\\ 
STAT1 & 16 & 0.03671 & 0.119 & -0.074 & 0.194\\ 
CXCL10 & 16 & 0.03671 & 0.12 & -0.074 & 0.194\\ 
PSMB9 & 16 & 0.03671 & 0.12 & -0.068 & 0.188\\ 
IKZF1 & 16 & 0.03671 & 0.113 & -0.071 & 0.184\\ 
NFAM1 & 16 & 0.03671 & 0.114 & -0.07 & 0.184\\ 
TRIM22 & 16 & 0.03671 & 0.105 & -0.077 & 0.183\\ 
PARP9 & 16 & 0.03671 & 0.116 & -0.063 & 0.179\\ 
TFEC & 16 & 0.03671 & 0.117 & -0.062 & 0.179\\ 
PSMB8 & 16 & 0.03671 & 0.111 & -0.065 & 0.176\\ 
IRF1 & 15 & 0.06277 & 0.112 & -0.062 & 0.174\\ 
KLHL6 & 16 & 0.03671 & 0.103 & -0.071 & 0.174\\ 
PARP14 & 16 & 0.03671 & 0.108 & -0.059 & 0.167\\ 
CD28 & 16 & 0.03671 & 0.085 & -0.081 & 0.166\\ 
CD4 & 16 & 0.03671 & 0.099 & -0.063 & 0.163\\ 
PTAFR & 16 & 0.03671 & 0.1 & -0.061 & 0.161\\ 
PARP15 & 16 & 0.03671 & 0.099 & -0.06 & 0.159\\ 
LILRB4 & 16 & 0.03671 & 0.087 & -0.06 & 0.146\\ 
PSME2 & 15 & 0.06277 & 0.091 & -0.052 & 0.143\\ 
CD38 & 15 & 0.06277 & 0.081 & -0.061 & 0.142\\ 
LGALS9 & 15 & 0.06277 & 0.093 & -0.048 & 0.141\\ 
FLI1 & 16 & 0.03671 & 0.09 & -0.047 & 0.138\\ 
NLRP3 & 16 & 0.03671 & 0.075 & -0.046 & 0.121\\ 
TMIGD3 & 16 & 0.03671 & 0.062 & -0.055 & 0.117\\ 
S100A8 & 16 & 0.03671 & 0.035 & -0.044 & 0.079\\ 
S1PR1 & 12 & 0.31232 & 0.044 & -0.027 & 0.07\\ 
